"%s","%s"
"ACL Attribute Rules","ACL egenskabsregler"
"Edit attribute rules for %s Role","Rediger egenskabsregler for rollen %s"
"Email","E-mail"
"Enable Qty Increments","Aktiver mængdetrin"
"Exclude","Ekskluder"
"File Content","Filindhold"
"File MIME Type","Fil MIME Type"
"File Name","Filnavn"
"Final Price With Tax","Endelig pris inkl. moms"
"Final Price Without Tax","Endelig pris ekskl. moms"
"First Name","Fornavn"
"Gift Message","Gavebesked"
"Grand Total","Total"
"Grand Total to Be Charged","Total til opkrævning"
"Group","Gruppe"
"Guest","Gæst"
"Has Custom Options","Har tilpasningsmuligheder"
"ID","ID"
"Inventory Data","Lagerdata"
"Invoiced Qty","Faktureret mængde"
"Is Confirmed","Er bekræftet"
"Is Default Billing Address","Er standard-betalingsadresse"
"Is Default Shipping Address","Er standard-leveringsadresse"
"Item ID","Vare-ID"
"Item Subtotal","Vare-subtotal"
"Item Subtotal Including Tax","Vare-subtotal inkl. moms"
"Label","Label"
"Last Logged In","Sidst logget ind"
"Last Name","Efternavn"
"Low Stock Date","Lav lagermængde-dato"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Minimum Qty Allowed in Shopping Cart","Minimalt antal tilladt i indkøbskurv"
"New Role","Ny rolle"
"Notify for Quantity Below","Informer ved mængde under"
"OAuth","OAuth"
"Order","Ordre"
"Order Addresses","Ordreadresser"
"Order Comments","Ordrekommentarer"
"Order Currency","Ordrevaluta"
"Order Date","Ordredato"
"Order ID","Ordre-ID"
"Order ID (internal)","Ordre-ID (internt)"
"Order Item ID","Ordrelinie-ID"
"Order Items","Ordrelinier"
"Order Status","Ordrestatus"
"Ordered Qty","Bestilt mængde"
"Orders","Ordrer"
"Original Price","Originalpris"
"Parent Order Item ID","Ordre-overlinie-ID"
"Payment Method","Betalingsmetode"
"Phone Number","Telefonnummer"
"Placed from IP","Bestilt fra IP"
"Please enter a valid number in ""max_sale_qty"" field","Indtast et gyldigt tal i feltet ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Indtast et gyldigt tal i feltet ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Indtast et gyldigt tal i feltet ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Indtast et gyldigt tal i feltet ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Please use numbers only in ""category_id"""
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Brug kun tal i feltet ""qty_increments"". Undgå mellemrum og andre tegn, f.eks. komma og punktum."
"Position","Position"
"Price","Pris"
"Price Including Tax","Pris inkl. moms"
"Product","Produkt"
"Product Category","Produktkategori"
"Product ID","Produkt-ID"
"Product Image","Produktbillede"
"Product Type","Produkttype"
"Product URL","Produkt-URL"
"Product Website","Produkt-website"
"Product and Custom Options Name","Navn for produkt og tilpasningsmuligheder"
"Qty","Antal"
"Qty Increments","Mængdetrin"
"Qty Uses Decimals","Antal bruger decimaler"
"Qty for Item's Status to Become Out of Stock","Antal for at varens status er ikke på lager"
"REST - Attributes","REST - Egenskaber"
"REST - Roles","REST - Roller"
"REST ACL Attributes","REST ACL egenskaber"
"REST Attributes","REST egenskaber"
"REST Role","REST rolle"
"REST Roles","REST roller"
"REST Roles Information","REST rolleinformation"
"Read","Læs"
"Refunded Qty","Refunderet mængde"
"Regular Price With Tax","Normalpris inkl. moms"
"Regular Price Without Tax","Normalpris ekskl. moms"
"Rest Roles","Rest roller"
"Retrieve","Hent"
"Role ""%s"" no longer exists","Rollen ""%s"" eksisterer ikke længere"
"Role ""%s"" not found.","Rollen ""%s"" findes ikke."
"Role API Resources","API-ressourcer for rolle"
"Role Info","Rolleinfo"
"Role Information","Rolleinformation"
"Role Name","Rollenavn"
"Role Users","Rollebrugere"
"Role has been deleted.","Rollen er slettet."
"Roles","Roller"
"SKU","Varenummer"
"Salability Status","Salgbarhedsstatus"
"Sales","Salg"
"Save","Gem"
"Shipped Qty","Afsendt mængde"
"Shipping Amount","Leveringsbeløb"
"Shipping Discount","Leveringsrabat"
"Shipping Including Tax","Levering inkl. moms"
"Shipping Method","Leveringsmetode"
"Shipping Tax","Leveringsmoms"
"State","State"
"Stock Availability","Lagerstatus"
"Stock ID","Lager-ID"
"Stock Item","Lagerenhed"
"Stock Status","Lagerstatus"
"Store Currency to Order Currency Rate","Kurs mellem forretningsvaluta og ordrevaluta"
"Store Name","Forretningsnavn"
"Street","Gade"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal inkl. moms"
"System","System"
"Tax Amount","Momsbeløb"
"Tax Name","Momsnavn"
"Tax Percent","Momsprocent"
"Tax Rate","Momssats"
"The ""enable_qty_increments"" field must be set to 0 or 1.","Feltet ""enable_qty_increments"" skal være 0 eller 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Feltet ""is_decimal_divided"" skal være 0 eller 1."
"The ""is_in_stock"" field must be set to 0 or 1.","Feltet ""is_in_stock"" skal være 0 eller 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Feltet ""is_qty_decimal"" skal være 0 eller 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","Feltet ""is_qty_decimal"" skal være 0, 1 eller 2."
"The ""manage_stock"" field must be set to 0 or 1.","Feltet ""manage_stock"" skal være 0 eller 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Feltet ""stock_status_changed_auto"" skal være 0 eller 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","Feltet ""use_config_backorders"" skal være 0 eller 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Feltet ""use_config_enable_qty_inc"" skal være 0 eller 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Feltet ""use_config_manage_stock"" skal være 0 eller 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Feltet ""use_config_max_sale_qty"" skal være 0 eller 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Feltet ""use_config_min_qty"" skal være 0 eller 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Feltet ""use_config_min_sale_qty"" skal være 0 eller 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Feltet ""use_config_notify_stock_qty"" skal være 0 eller 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Feltet ""use_config_qty_increments"" skal være 0 eller 1."
"The attribute rules were saved.","Egenskabsreglerne er gemt."
"The role has been saved.","Rollen er gemt."
"The role is a special one and not for assigning it to admin users.","Rollen er speciel og kan ikke bruges til administratorer."
"Total Due","Total gæld"
"Total Paid","Total betalt"
"Total Refunded","Total refunderet"
"Total Reviews Count","Total antal bedømmelser"
"Type","Type"
"URL","URL"
"Update","Opdater"
"Use Config Settings for Allow Gift Message","Brug konfig.indstil. til Tillad gavebesked"
"Use Config Settings for Allow Gift Wrapping","Brug konfig.indstil. til Tillad gaveindpakning"
"Use Config Settings for Backorders","Brug konfig.indstil. til Restordrer"
"Use Config Settings for Enable Qty Increments","Brug konfig.indstil. til Aktiver mængdetrin"
"Use Config Settings for Manage Stock","Brug konfig.indstil. til Administrer lager"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Brug konfig.indstil. til Maksimalt antal tilladt i indkøbskurv"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Brug konfig.indstil. til Minimalt antal tilladt i indkøbskurv"
"Use Config Settings for Notify for Quantity Below","Brug konfig.indstil. til Informer for antal under"
"Use Config Settings for Qty Increments","Brug konfig.indstil. til Mængdetrin"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Brug konfig.indstil. til Antal for at varens status er ikke på lager"
"User Type","Brugertype"
"User type ""%s"" no longer exists","Brugertypen ""%s"" eksisterer ikke længere"
"User type ""%s"" not found.","Brugertypen ""%s"" findes ikke."
"Web Services","Web Services"
"Web services","Web services"
"Write","Skriv"
"ZIP/Postal Code","Postnummer"
