"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"%s and above","%s og derover"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Information","Yderligere information"
"Alert Urls","Advarsels-URLs"
"All","Alle"
"All Product Types","Alle produkt typer"
"All Websites","Alle websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle produkter med dette sæt vil blive slettet! Er du sikker på at du vil slette dette egenskabssæt?"
"Allow All Products per Page","Tillad alle produkter per side"
"Allow Dynamic Media URLs in Products and Categories","Tillad dynamiske medie-URLs i produkter og kategorier"
"Allow HTML Tags on Frontend","Tillad HTML-tags på frontend"
"Allowed File Extensions","Tilladte filtyper"
"Allowed file extensions to upload","Tilladte filtyper til upload"
"An error occurred while adding products to websites.","Fejl ved tilknytning af produkter til websites."
"An error occurred while clearing comparison list.","Fejl ved tømning af sammenligningslisten.."
"An error occurred while deleting this review.","Fejl ved sletning af denne bedømmelse."
"An error occurred while removing products from websites.","Fejl ved sletning af produkter fra websites."
"An error occurred while saving the URL rewrite","Fejl ved lagring af URL-omskrivning"
"An error occurred while saving the attribute set.","Fejl ved sletning af egenskabssættet."
"An error occurred while saving the collection, aborting. Error message: %s","Fejl ved lagring af kollektionen. Fejlbesked: %s"
"An error occurred while saving the product. ","Fejl ved lagring af produktet."
"An error occurred while saving the search query.","Fejl ved lagring af søgeudtrykket."
"An error occurred while saving this group.","Fejl ved lagring af gruppen."
"An error occurred while saving this review.","Fejl ved lagring af bedømmelsen."
"An error occurred while trying to delete the category.","Fejl ved sletning af kategorien."
"An error occurred while updating the product(s) attributes.","Fejl ved opdatering af produktegenskaberne."
"An error occurred while updating the product(s) status.","Fejl ved opdatering af produktstatus."
"An invalid group ID is specified, skipping the record.","En ugyldig gruppe ID er specificeret, springer række over."
"An invalid option ID is specified for %s (%s), skipping the record.","Ugyldig option ID for %s (%s), springer posten over."
"An invalid store was specified.","Ugyldig forretning angivet."
"Anchor Custom Text","Linktekst"
"Anchor Custom Title","Linktitel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Gælder kun for produkter og kategorier. Alle medier indsættes i editoren med en statisk URL. Den opdateres ikke hvis rod-URL'en ændres i konfigurationen."
"Apply MAP (Default Value)","Anvend MAP (standardværdi)"
"Apply To","Brug til"
"Approved","Godkendt"
"Are you sure you want to delete this category?","Er du sikker på, at kategorien skal slettes?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du vil fjerne alle produkter fra din sammenligning?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne denne vare fra sammenligningslisten?"
"Are you sure?","Er du sikker?"
"As low as:","Ned til:"
"Assign","Tildel"
"Assign product link","Tildel produktlink"
"Assign product to category","Tilknyt produkt til kategori"
"Assigned Products","Tilknyttede produkter"
"Associated Products","Underprodukter"
"Attrib. Set Name","Sæt af egenskaber"
"Attribute ""%s"" is invalid.","Egenskaben ""%s"" er ugyldig."
"Attribute ""%s"" is required.","Egenskaben ""%s"" er obligatorisk"
"Attribute Information","Egenskab - detaljer"
"Attribute Model","Egenskabsmodel"
"Attribute Name:","Navn:"
"Attribute Set","Egenskabssæt"
"Attribute Sets","Egenskabssæt"
"Attribute add","Tilføj egenskab"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Ugyldig egenskabskode. Brug kun bogstaver (a-z), tal (0-9) eller underscore(_) i dette felt, og første tegn skal være et bogstav."
"Attribute group with the \""/name/\"" name already exists","Der eksisterer allerede en egenskabsgruppe med navnet \""/name/\"""
"Attribute remove","Fjern egenskab"
"Attribute with the same code already exists","Egenskab med samme kode findes allerede"
"Attributes","Produktegenskaber"
"Attrribute names can be specified per store.","Egenskabsnavne kan specificeres for hver butik"
"Autogenerate","Autogenerer"
"Availability:","Lagerstatus:"
"Back","Tilbage"
"Backend Model","Model (backend)"
"Backend Table","Tabel (backend)"
"Backend Table Title","Tabeltitel (backend)"
"Backorders","Restordrer"
"Base Image","Standardbillede"
"Base Image Width","Bredde på standardbillede"
"Based On","Baseret på"
"Before Order Confirmation","Før bekræftelse af ordre"
"Best Value","Bedste køb"
"Block after Info Column","Blok efter infosøjle"
"Bottom Block Options Wrapper","Bundblok options wrapper"
"Bottom/Left","Bunden/venstre"
"Bottom/Right","Bunden/højre"
"Browse By","Vis efter"
"Bundle Items","Gruppér elementer"
"Buy %1$s","Køb %1$s"
"Buy %1$s for","Køb %1$s for"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) pr. styk"
"Buy %1$s for %2$s each","Køb %1$s for %2$s pr. stk."
"Cache Lifetime (Seconds)","Cachens levetid (sekunder)"
"Cache refresh needed.","En cacheopdatering er nødvendig."
"Can be Divided into Multiple Boxes for Shipping","Kan opdeles i flere kasser til forsendelse"
"Can be used only with catalog input type Dropdown","Kan kun bruges med dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun bruges med dropdown, multiselect og pris"
"Can\'t create image.","Kan ikke oprette billede."
"Cancel","Annullér"
"Cannot create image.","Kan ikke oprette billede."
"Cannot create writeable directory '%s'.","Kan ikke oprette den skrivbare mappe '%s'"
"Cart Item Attribute","Egenskab for vare i kurv"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategori (filtreret)"
"Catalog Category (Non-Anchor)","Kategori (ikke filtreret)"
"Catalog Category (Without Subcategories)","Kategori (uden underkategorier)"
"Catalog Category Link","Kategorilink"
"Catalog New Products List","Produktliste - nye produkter"
"Catalog Price Scope","Definitionsniveau for katalogpriser"
"Catalog Product Compare List","Produktsammenligningsliste"
"Catalog Product Email to a Friend","Send produkt til en ven"
"Catalog Product Image Gallery Popup","Popup-billedgalleri for produkt"
"Catalog Product Link","Produktlink"
"Catalog Product View (Any)","Produktside (alle)"
"Catalog Product View (Configurable)","Produktside (konfigurerbare)"
"Catalog Product View (Grouped)","Produktside (grupperede)"
"Catalog Product View (Simple)","Produktside (simple)"
"Catalog Product View (Virtual)","Produktside (virtuelle)"
"Catalog Section","Katalogsektion"
"Catalog Seo Sitemap (Category List)","SEO sitemap (kategoriliste)"
"Catalog Seo Sitemap (Category Tree)","SEO sitemap (kategoritræ)"
"Catalog Seo Sitemap (Common)","SEO sitemap (katalog)"
"Catalog Seo Sitemap (Product List)","SEO sitemap (produktliste)"
"Catalog URL Rewrites","URL-omskrivninger for katalog"
"Catalog product custom option values API","Produkt-tilpasningsmuligheder-værdier API"
"Catalog product custom options API","Produkt-tilpasningsmuligheder API"
"Catalog, Search","Katalog, søgning"
"Categories","Kategorier"
"Categories Sitemap","Sitemap for kategorier"
"Category","Kategori"
"Category API","Kategori-API"
"Category Data","Kategori - detaljer"
"Category Flat Data","Flade kategoridata"
"Category Link Block Template","Kategorilink blokskabelon"
"Category Link Inline Template","Kategorilink inline"
"Category Products","Kategoriers produkter"
"Category Top Navigation","Topnavigation for kategorier"
"Category URL Suffix","Suffix for kategori-URLs"
"Category attributes API","Kategoriegenskabs-API"
"Category move error","Fejl - kategorien kunne ikke flyttes"
"Category move operation is not possible: parent category is equal to child category.","Kategorien kan ikke flyttes: Overkategorien er den samme som underkategorien."
"Category move operation is not possible: the current category was not found.","Kategorien kan ikke flyttes: Den aktuelle kategori kunne ikke findes."
"Category move operation is not possible: the new parent category was not found.","Kategorien kan ikke flyttes: Den nye overkategori kunne ikke findes."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorien skal være en instans af Mage_Catalog_Model_Category."
"Center","Center"
"Change","Rediger"
"Change or Retrieve attribute store view","Rediger eller hent forretningsvisning for egenskab"
"Change status","Ændre status"
"Check items to add to the cart or","Afkryds produkter for at lægge i kurv eller"
"Choose an Option...","Vælg venligst..."
"Clear All","Ryd alle"
"Clear Price","Ryd pris"
"Click for price","Klik for pris"
"Close Window","Luk vindue"
"Collapse All","Sammenfold alle"
"Comma-separated.","Kommasepareret."
"Comparable","Kan sammenlignes"
"Comparable on Front-end","Kan sammenlignes"
"Comparable on the Frontend","Sammenlignelig i frontend"
"Compare","Sammenlign"
"Compare Products","Sammenlign produkter"
"Conditions Combination","Betingelseskombination"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Konfigurerbare produktindstillinger"
"Configure Product","Konfigurér produkt"
"Continue","Fortsæt"
"Copy From Configurable","Kopier fra konfigurerbar"
"Country/State","Land/stat"
"Create","Opret"
"Create (Upload)","Opret (upload)"
"Create Empty","Opret tom"
"Create Permanent Redirect for URLs if URL Key Changed","Opret permanent redirect for URLs hvis URL-nøgle ændres"
"Create Permanent Redirect for old URL","Opret permanent redirect for gammel URL"
"Create Product Settings","Opret produktindstillinger"
"Create Simple Associated Product","Opret simpelt tilknyttet produkt"
"Create attribute set based on another set","Opret egenskabssæt baseret på et andet sæt"
"Create new attribute","Opret ny egenskab"
"Create new category","Opret ny kategori"
"Create new product","Opret nyt produkt"
"Cross-sells","Krydssalg"
"Currently Shopping by:","Dine filtre:"
"Custom Design","Eget design"
"Custom Options","Tilpasningsmuligheder"
"Custom options","Tilpasningsmuligheder"
"Customer Group","Kundegruppe"
"Customers Reviews","Kunders bedømmelser"
"Customers Tagged Product","Kunder, der har tagget produktet"
"Data Type for Saving in Database","Datatype til at gemme i databasen"
"Date & Time Custom Options","Indstillinger for dato og tid"
"Date Fields Order","Rækkefølge for datofelt"
"Date Subscribed","Dato tilmeldt"
"Datetime","Dato og tidspunkt"
"Decimal","Decimal"
"Declare attribute value saving scope","Angiv området, hvor egenskabens værdi gemmes"
"Default ""What's This"" Text Message","Standardbesked for ""hvad er dette"""
"Default Popup Text Message","Standard-popupbesked"
"Default Price","Standard pris"
"Default Price Navigation Step","Standard prisnavigationstrin"
"Default Qty","Antal (standard)"
"Default Values","Standardværdier"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definerer basisvaluta (""Valutaindstillinger"" > ""Valutamuligheder"" > ""Basisvaluta"")."
"Delete","Slet"
"Delete Attribute","Slet egenskab"
"Delete Attribute Set","Slet sæt"
"Delete Category","Slet kategori"
"Delete Group Price","Slet gruppepris"
"Delete Option","Slet mulighed"
"Delete Row","Slet række"
"Delete Search","Slet søgning"
"Delete Selected Group","Slet valgt gruppe"
"Delete Tier","Slet prisrække"
"Delete attribute","Slet egenskab"
"Delete category","Slet kategori"
"Delete product","Slet produkt"
"Depends on design theme","Afhænger af designtema"
"Design","Design"
"Details","Detaljer"
"Disabled","Inaktiv"
"Disallowed file type.","Ulovlig filtype."
"Display Actual Price","Vis faktisk pris"
"Display Price Interval as One Price","Vis prisinterval som én pris"
"Display Product Count","Vis produktantal"
"Display Settings","Visningsindstillinger"
"Display in Suggested Terms","Vis i foreslået udtryk"
"Double click on a group to rename it","Dobbeltklik på en gruppe for at omdøbe den"
"Double click on above image to view full picture","Dobbeltklik på ovenstående billede for at se i fuld størrelse"
"Downloadable Information","Download Information"
"Duplicate","Kopier"
"Duplicate website group price customer group.","Dupliker websitets kundegruppepris."
"Duplicate website tier price customer group and quantity.","Dupliker website pristrin kundegruppe og antal"
"Duplicate website, country and state tax found.","Dupliker website, land og fundet statsmoms."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","F.eks. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Parsing af dynamiske stier har indflydelse på ydelsen."
"Edit","Rediger"
"Edit Attribute Set '%s'","Rediger egenskabssæt '%s'"
"Edit Product Attribute","Rediger produktegenskab"
"Edit Product Attribute ""%s""","Rediger produktegenskaben ""%s"""
"Edit Search","Rediger søgning"
"Edit Search '%s'","Rediger søgning '%s'"
"Edit Set Name","Rediger sætnavn"
"Email","E-mail"
"Email to a Friend","Tip en ven"
"Empty","Tom"
"Enable MAP","Aktiver MAP"
"Enable Qty Increments","Aktiver mængdetrin"
"Enable WYSIWYG","Aktiver WYSIWYG"
"Enabled","Aktiv"
"Enable for reindexing a big number of SKUs.","Aktiver ved genindeksering af et stort antal SKU'er."
"Error during retrieval of option value: %s","Værdi for mulighed %s kunne ikke hentes"
"Exclude","Udelad"
"Expand All","Udfold alle"
"Failed","Fejl"
"Failed to move file: %s","Kunne ikke flytte filen: %s"
"Feature Products","Fremhævede produkter"
"Field is not complete","Feltet er ikke færdiggjort"
"File options format is not valid.","Ugyldigt filformat"
"File upload failed","Filupload mislykkedes"
"Filter model name must be declared.","Giv venligst filteret et navn"
"Filter must be an object. Please set correct filter.","Filteret skal være et objekt. Vælg et korrekt filter."
"Filterable (no results)","Kan filtreres (uden søgeresultat)"
"Filterable (with results)","Kan filtreres (med søgeresultat)"
"First Name","Fornavn"
"Fixed","Fast"
"For internal use.","Til internt brug."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Model (front-end)"
"Frontend Properties","Egenskaber (front-end)"
"Gallery","Galleri"
"General Information","Indhold"
"Get full information about attribute with list of options","Få fuld information om egenskaben med liste over værdier"
"Get full information about custom option in product","Få fuld information om tilpasningsmuligheder i produkt"
"Get list of available custom option types","Få liste over tilgængelige tilpasningsmuligheder"
"Get list of non-default attributes by product type and attributes set","Få liste over ikke-standardegenskaber for produkttype og egenskabssæt"
"Get list of possible attribute types","Få liste over mulige egenskabstyper"
"Get special price","Hent specialpris"
"Global","Global"
"Globally Editable","Redigerbar (globalt)"
"Go to Home Page","Gå til forside"
"Grid","Tabel"
"Group add","Tilføj gruppe"
"Group remove","Fjern gruppe"
"Grouped Product","Grupperet produkt"
"Groups","Grupper"
"Home","Forside"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Hvis tom benyttes kategorinavnet"
"If empty, the Product Name will be used","Hvis tom benyttes produktnavnet"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Hvis du ikke angiver en værdi for en forretning bruges standardværdien."
"Image","Billede"
"Image content is not valid base64 data.","Billeddata er ikke gyldig base64 data."
"Image does not exist.","Billedet eksisterer ikke."
"Image file was not found.","Billedfilen kunne ikke findes."
"Image type and information need to be specified for each store view.","Billedtype og -information skal specificeres for hver visning af forretning."
"In Cart","I kurven"
"In Stock","På lager"
"In stock","På lager"
"Incl. Tax","Inkl. moms"
"Index product and categories URL rewrites","Indekser URL-omskrivninger for produkter og kategorier"
"Index product attributes for layered navigation building","Indekser produktegenskaber for filtreret navigation"
"Index product prices","Indekser produktpriser"
"Indexed category/products association","Indekseret kategori/produkttildeling"
"Info","Info"
"Info Column Options Wrapper","Infokolonne, blok med valgmuligheder"
"Input Type","Inputtype"
"Integer","Heltal"
"Interval Division Limit","Grænse for intervalopdeling"
"Invalid Tier Prices","Ugyldig mængderabat"
"Invalid attribute %s","Ugyldig egenskab %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ugyldig værdi i mulighed for egenskab %s (%s), posten springes over…"
"Invalid attribute set specified, skipping the record.","Ugyldigt sæt af egenskaber, posten springes over…"
"Invalid block: %s.","Ugyldig blok: %s"
"Invalid category IDs.","Ugyldigt kategori-ID"
"Invalid category.","Ugyldig kategori"
"Invalid image file type.","Ugyldig billedfiltype"
"Invalid image type.","Ugyldig billedtype."
"Invalid option ID specified for %s (%s), skipping the record.","Ugyldigt option ID angivet for %s (%s), springer posten over."
"Invalid product type specified, skipping the record.","Ugyldig produkttype, posten springes over…"
"Invalid store specified","Ugyldig butik specificeret"
"Invalid store specified, skipping the record.","Ugyldig forretning specificeret, posten springes over…"
"Invalid tier prices. The product is not associated to the requested website.","Ugyldig mængderabat. Produktet er ikke tilknyttet til det valgte website."
"Inventory","Lager"
"Is Default","Er standard"
"Is Required","Er påkrævet"
"Items %s to %s of %s total","%s til %s ud af %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil vise i kataloget eller i søgninger skal sættes til 'Inaktiv' i den ønskede forretning."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som du ikke vil have skal vises i kataloget eller under søgning skal have sat status som Deaktiveret"" i den ønskede butik."""
"Keep your eyes open for our special Back to School items and save A LOT!","Hold øje med vores skolestartstilbud og spar penge!"
"Label","Etiket"
"Last Name","Efternavn"
"Last Notification","Sidste notifikation"
"Layered Navigation","Filtreret navigation"
"Learn More","Vis detaljer"
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, varenummer: %s"
"Link (Related, Up sell, Cross sell)","Link (relateret, opsalg, krydssalg)"
"Link product does not exist.","Linket produkt eksisterer ikke."
"Link to a Specified Category","Link til en bestemt kategori"
"Link to a Specified Product","Link til et bestemt produkt"
"List","Liste"
"List Mode","Listevisning"
"List of Products that are set as New","Liste over produkter sat til ny"
"List of types","Liste over typer"
"Manage Attribute Sets","Egenskabssæt"
"Manage Attributes","Egenskaber"
"Manage Catalog Categories","Kategorier til katalog"
"Manage Categories","Kategorier"
"Manage Label / Options","Rediger labels"
"Manage Options (values of your attribute)","Administrer muligheder"
"Manage Product Attributes","Produktegenskaber"
"Manage Product Sets","Produktsæt"
"Manage Products","Produkter"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Rediger titler (Størrelse, Farve, etc.)"
"Max Characters","Maks tegn"
"Maximal Depth","Maks dybde"
"Maximum Image Size","Maksimal billedstørrelse"
"Maximum Number of Price Intervals","Maksimalt antal prisintervaller"
"Maximum Qty Allowed in Shopping Cart","Max-antal tilladt i indkøbskurv"
"Maximum allowed image size for '%s' is %sx%s px.","Maksimal tilladt billedstørrelse for '%s' er %sx%s px."
"Maximum allowed image size for '%s' is %sx%s px.","Den maksimale tilladte billedstørrelse for '%s' er %sx%s px."
"Maximum image height","Maksimal billedhøjde"
"Maximum image width","Maksimal billedbredde"
"Maximum number of characters:","Maksimalt antal tegn:"
"Maximum number of price intervals is 100","Maksimalt antal prisintervaller er 100"
"Media Image","Mediebillede"
"Meta Information","Metainformation"
"Minimum Advertised Price","Minimal annonceret pris (Minimum Advertised Price)"
"Minimum Lines per Page","Minimum linier pr. side"
"Minimum Qty Allowed in Shopping Cart","Min-antal tilladt i indkøbskurv"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum antal for at varens status er ikke på lager"
"Missing SKU, skipping the record.","Manglende SKU, posten springes over"
"More Views","Flere visninger"
"Move","Flyt"
"Move category in tree","Flyt kategori i træet"
"Must be in the allowed values list.","Skal være i listen over tilladte værdier."
"N/A","N/A"
"Name","Navn"
"Name in %s","Navn i %s"
"New Product","Nyt produkt"
"New Product Attribute","Ny produktegenskab"
"New Products","Nye produkter"
"New Products Grid Template","Nye produkter, tabelskabelon"
"New Products List Template","Nye produkter, listeskabelon"
"New Root Category","Ny rodkategori"
"New Search","Ny søgning"
"New Set Name","Nyt sætnavn"
"New Subcategory","Ny underkategori"
"Next","Næste"
"No","Nej"
"No image","Intet billede"
"No layout updates","Ingen opdatering af layout fundet"
"No options of this product are available.","Valgmuligheder for produkt er ikke tilgængelig"
"No product collections found.","Der blev ikke fundet nogen produkter."
"None","Ingen"
"Not Visible Individually","Ikke individuelt synlige"
"Notify Low Stock RSS","Advar om lav beholdning (RSS)"
"Notify for Quantity Below","Advisér ved antal under"
"Number of Products to Display","Antal produkter at vise"
"Number of Uses","Søgninger"
"Number of results","Antal resultater"
"Number of results (For the last time placed)","Antal resultater (for sidste placering)"
"OK","OK"
"OR","ELLER"
"Old Price:","Gammel pris:"
"On Gesture","Ved klik"
"Option validation failed to add product to cart.","Validering kunne ikke tilføje produktet til kurven"
"Option values","Værdier"
"Option:","Mulighed:"
"Options","Muligheder"
"Options Control","Indstillinger af muligheder"
"Options is required","Muligheder er påkrævet"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Kundeservice er åben 24 timer i døgnet. Ring til os på +45 10 10 10 10"
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"PM","PM"
"Page Title Separator","Separator for sidetitel"
"Parent Category","Hovedkategori"
"Pending","Ikke godkendt"
"Pending Reviews RSS","Manglende godkendelse (RSS)"
"Percentage","Procent"
"Please add rows to option.","Tilføj venligst rækker til muligheden."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Pas på, da pakkedata fra den valgte fil indlæses og al data der ikke er gemt vil gå tabt, så snart du klikker på rækken."
"Please click on the Close Window button if it is not closed automatically.","Luk vinduet hvis det ikke lukker automatisk."
"Please enter a new group name","Indtast venligst et gruppenavn"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Opdater venligst ""URL-omskrivninger for katalog"" og ""produktegenskaber"" i System -> <a href=""%s"">Indeksstyring</a>"
"Please select a static block ...","Vælg en statisk blok ..."
"Please select items.","Du bedes vælge."
"Please select one or more attributes.","Vælg venligst en eller flere egenskaber"
"Please select product(s).","Vælg venligst produkt(er)"
"Please select products for attributes update","Vælg venligst de produkter, hvis egenskaber skal opdateres"
"Please specify date required option(s).","Angiv venligst obligatorisk(e) datofelt(er)"
"Please specify the number of products, that will not be divided into subintervals.","Angiv venligst antallet af varer der ikke kan opdeles i underintervaller."
"Please specify the product required option(s)","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the product required option(s).","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the product\'s option(s).","Angiv venligst produktets muligheder."
"Please specify the product\'s required option(s).","Angiv venligst produktets påkrævede valgmulighed(er)"
"Please specify the quantity of product(s).","Angiv mængden af produkter."
"Please specify time required option(s).","Angiv venligst obligatoriske valgmuligheder"
"Please wait...","Vent venligst ..."
"Position","Position"
"Position in Layered Navigation","Position i filtreret navigation"
"Position of attribute in layered navigation block","Egenskabens position i den filtrerede navigationsblok"
"Prev","Forrige"
"Previous","Forrige"
"Price","Pris"
"Price Navigation Step Calculation","Beregning af prisnavigationstrin"
"Price Type","Pristype"
"Price is not available","Prisen er ikke tilgængelig"
"Price values for options should be specified in system base currency.","Priser for mulighederne skal være specificeret i systemets standardvaluta."
"Price:","Pris:"
"Prices","Priser"
"Price: %s","Pris: %s"
"Print This Page","Print siden"
"Product","Produkt"
"Product API","Produkt-API"
"Product Alerts","Produktbeskeder"
"Product Attribute","Produktegenskab"
"Product Attribute Assigned","Produktegenskab tildelt"
"Product Attributes","Produktegenskaber"
"Product Categories","Produktkategorier"
"Product Description","Beskrivelse"
"Product Extra Info","Ekstra produktinfo"
"Product Flat Data","Flade produktdata"
"Product ID","Produkt ID"
"Product Image","Produktbillede"
"Product Image Placeholders","Placeholders til produktbilleder"
"Product Image Watermarks","Vandmærker til produktbilleder"
"Product Images","Produktbilleder"
"Product Images API","Produktbilled-API"
"Product In Websites","Produkt på websites"
"Product Info Column","Produktinfo-kolonne"
"Product Information","Produktinformation"
"Product Link Block Template","Produktlink, blokskabelon"
"Product Link Inline Template","Produktlink, inline-skabelon"
"Product Listing Sort by","Sortér produktlister efter"
"Product Name","Produktnavn"
"Product Prices","Produktpriser"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Product Tier Price API","Produkt-mængderabat-API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL suffix"
"Product View Extra Hint","Produktvisning ekstra hint"
"Product attribute sets API","Produkt-egenskabssæt-API"
"Product attributes API","Produktegenskabs-API"
"Product collection expected.","Produktliste blev forventet"
"Product is not loaded","Produktet er ikke indlæst"
"Product links API (related, cross sells, up sells)","Produktlinks-API (relaterede, krydssalg, opsalg)"
"Product name","Produktnavn"
"Product types API","Produkttype-API"
"Product with this combination of attributes already associated to configurable.","Produktet med denne kombination af egenskaber er allerede forbundet med dette konfigurerbare produkt."
"Products","Produkter"
"Products Comparison List","Sammenligningsliste"
"Products Information","Produktinformation"
"Products Reviews","Produkters bedømmelser"
"Products Sitemap","Sitemap for produkter"
"Products only","Kun produkter"
"Products per Page on Grid Allowed Values","Tilladte værdier for produkter pr. side ved tabelvisning"
"Products per Page on Grid Default Value","Standardværdi for produkter pr. side ved tabelvisning"
"Products per Page on List Allowed Values","Tilladte værdier for produkter pr. side ved listevisning"
"Products per Page on List Default Value","Standardværdi for produkter pr. side ved listevisning"
"Properties","Egenskaber"
"Qty","Antal"
"Qty Increments","Mængdetrin"
"Qty Uses Decimals","Antal med decimal"
"Qty for Item\'s Status to Become Out of Stock","Antal for at produktets status bliver 'ikke på lager'"
"Qty:","Antal:"
"Quantity","Mængde"
"Quick Create","Hurtig-opret"
"Quick Overview","Hurtigt overblik"
"Quick simple product creation","Hurtig simpel produktoprettelse"
"Records for ""","Poster for """
"Recurring Profile","Abonnementsprofil"
"Redirect","Omdiriger"
"Redirect URL","URL til videresendelse"
"Regular Price:","Pris:"
"Related Products","Relaterede produkter"
"Remove","Fjern"
"Remove Product From Websites","Fjern produkt fra website"
"Remove This Item","Fjern element"
"Remove attribute from attribute set","Fjern egenskab fra egenskabssæt"
"Remove attribute set","Fjern egenskabssæt"
"Remove custom option","Fjern tilpasningsmulighed"
"Remove group from attribute set","Fjern gruppe fra egenskabssæt"
"Remove option","Fjern mulighed"
"Remove product assignment","Fjern produkttildeling"
"Remove product image","Fjern produktbillede"
"Remove product link","Fjern produktlink"
"Remove value from custom option","Fjern værdi fra tilpasninsmulighed"
"Rename existing group","Omdøb eksisterende gruppe"
"Rename group","Omdøb gruppe"
"Reorganize EAV category structure to flat structure","Omorganiser EAV kategoristrukturen til flad struktur"
"Reorganize EAV product structure to flat structure","Omorganiser EAV produktstrukturen til flad struktur"
"Reset","Nulstil"
"Results","Resultater"
"Retrieve attribute data","Hent egenskabsdata"
