"-OR-","-ELLER-"
"Click here if you are not redirected within 10 seconds...","Klik her hvis du ikke sendes videre inden for 10 sekunder..."
"Company","Firma"
"Completion Date","Dato for gennemførsel"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Forbinder til PayPal SFTP server for at hente nye rapporter. Er du sikker på at du vil fortsætte?"
"Countries Payment Applicable From","Lande der kan betales fra"
"Country","Land"
"Coupon Redemption","Coupon Redemption"
"Credit","Credit"
"Credit Card Settings","Indstillinger for kreditkort"
"Currency Conversion required to cover negative balance","Valutaomregning er nødvendig for at dække negativ balance"
"Custom","Tilpasset"
"Custom Endpoint Hostname or IP-Address","Selvvalgt hostname eller IP-adresse"
"Custom Path","Selvvalgt sti"
"Customer Information","Kundeinformation"
"Customer complaint.","Kundeklage."
"Customer did not include a confirmed address.","Kunden gav ikke en bekræftet adresse."
"Customer triggered a money-back guarantee.","Kunden udløste penge-tilbage-garantien."
"Daily","Daglig"
"Debit","Debet"
"Debit Card Cash Back","Debetkort Cash Back"
"Debit Card Transaction","Debetkort-transkation"
"Debit or Credit","Debet eller kredit"
"Debug Mode","Debug Mode"
"Direct Payment API","Direct Payment API"
"Discount","Rabat"
"Display Express Checkout in the Payment Information step","Vis Express Checkout i betalingsinfo-trinnet"
"Displays on catalog pages and homepage.","Vis på katalogsider og forside."
"Don't have a PayPal account? Simply enter your email address.","Har du ikke en PayPal-konto? Så indtast bare din e-mailadresse."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Har du ikke en PayPal forretningskonto? Så kan du stadig tage imod kortbetalinger gennem Payflow Pro Gateway."
"Dynamic","Dynamisk"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Rediger indkøbskurv"
"Email Address","E-mailadresse"
"Email Associated with PayPal Merchant Account","E-mail forbundet med PayPal forretningskontoen."
"Enable Automatic Fetching","Aktiver automatisk indlæsning"
"Enable PayPal Guest Checkout","Aktiver PayPal gæstebestilling"
"Enabled","Aktiv"
"Event","Hændelse"
"Event Code","Hændelseskode"
"Every 10 days","Hver 10. dag"
"Every 14 days","Hver 14. dag"
"Every 3 days","Hver 3. dag"
"Every 30 days","Hver 30. dag"
"Every 40 days","Hver 40. dag"
"Every 7 days","Hver 7. dag"
"Exact Match. Address and Postal Code. International","Præcist match. Adresse og postnummer. International"
"Exact Match. Address and Postal Code. UK-specific","Præcist match. Adresse og postnummer. UK"
"Exact Match. Address and nine-digit ZIP code","Præcist match. Adresse og 9-cifret ZIP-kode"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) indstillinger"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Express Checkout indstillinger"
"Express Checkout and Order have been canceled.","Express Checkout og ordre er annulleret."
"Express Checkout has been canceled.","Express Checkout er annulleret."
"Failed to fetch reports from '%s@%s'.","Kunne ikke hente rapporter far '%s@%s'."
"Fax","Fax"
"Fee Amount","Gebyrbeløb"
"Fee Debit or Credit","Gebyr debet eller kredit"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Hent"
"Fetch Updates","Hent opdateringer"
"Fetched %s report rows from '%s@%s'.","%s rapportrækker indlæst fra '%s@%s'."
"For Virtual Quotes Only","Kun for virtuelle ordrer"
"Frontend Experience Settings","Frontend præsentationsindstillinger"
"Funding","Funding"
"General (Authorization)","Generel (autorisation)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","Generel (overførsel af midler mellem PayPal-konti)"
"General (Purchase with a credit card)","Generel (køb med kreditkort)"
"General Adjustment without businessrelated event","Generel justering uden forretningsrelateret hændelse"
"General Currency Conversion","Generel valutaomregning"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Få login fra PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Gavekortsbetaling: Køb af gavekort"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Bruttobeløb"
"Header Background Color","Baggrundsfarve for header"
"Header Border Color","Rammefarve for header"
"Header Image URL","Billede-URL til header"
"Help","Hjælp"
"Hidden Virtual PayPal Debit Card Transaction","Skjult virtuel PayPal debitkorttransaktion"
"Hold for Dispute Investigation","Vent på undersøgelse af tvist"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Hvis tom benyttes en standardværdi. En URL kan være defineret i CardinalCommerce-aftalen."
"If not specified, Default Country from General Config will be used","Hvis ikke angivet benyttes standardlandet fra den generelle konfiguration."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Hvis denne mulighed aktiveres kan kunden ændre leveringsadresse og leveringsmetode på PayPal-websitet. I live-mode fungerer det kun via HTTPS."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Det er ikke muligt at lave en refundering på et beløb der aldrig er hævet."
"Incentive","Incentive"
"Initiation Date","Startdato"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Integral Evolution indstillinger"
"Invoice ID","Faktura-ID"
"Issuer Liability","Udsteders hæftelse"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Det anbefales at sætte denne til ""Debit- eller kreditkort"" pr. forretningsvisning."
"It is recommended to set this value to ""PayPal"" per store views.","Det anbefales at sætte denne til ""PayPal"" pr. forretningsvisning."
"Items in Your Shopping Cart","Varer i kurven"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Seneste transaktions-ID"
"Learn More","Hør mere"
"Login","Login"
"Looking for PayPal? We have our own tab to the left under Sales.","Leder du efter PayPal? Vi har vores egen fane til venstre under Salg."
"Mass Pay Payment","Mass Pay Payment"
"Matched (CVV2)","Matchet (CVV2)"
"Matched (CVV2CSC)","Matchet (CVV2CSC)"
"Matched Address only (no ZIP)","Adresse matchet (ikke ZIP)"
"Matched Address only (no ZIP). International","Adresse matchet (ikke ZIP). International"
"Matched Postal Code only (no Address)","Postnummer matchet (ikke adresse)"
"Matched five-digit ZIP only (no Address)","5-cifret ZIP matchet (ikke adresse)"
"Matched whole nine-didgit ZIP (no Address)","9-cifret ZIP matchet (ikke adresse)"
"Merchant Account","Forretningskonto"
"Merchant Country","Forretningsland"
"Merchant Liability","Forretningens hæftelse"
"Merchant Protection Eligibility","Forretningens beskyttelseskvalifikation"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"Merchant reference ID format is not supported.","Det anvendte format for forretningens reference-ID er ikke understøttet."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","For at bruge betalingsaftalefunktionen skal denne tilmeldes hos PayPal. Aktiver ikke funktionen før PayPal har bekræftet at forretningen er tilmeldt."
"Mobile Payment (made via a mobile phone)","Mobil betaling (via mobiltelefon)"
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","Irrelevant. Adressen er ikke kontrolleret, eller erhververen svarede ikke."
"N/A. Global Unavailable","Irrelevant. Globalt utilgængelig"
"N/A. International Unavailable","Ikke relevant. International utilgængelig"
"N/A. Merchant has indicated that CVV2 is not present on card","Irrelevant. Forretningen har oplyst at CVV2 ikke findes på kortet"
"N/A. No response","Irrelevant. Intet svar"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Irrelevant. Ikke tilladt for transaktioner via MOTO (internet/telefon)"
"N/A. Not processed","Irrelevant. Ikke behandlet"
"N/A. Retry","Irrelevant. Forsøg igen"
"N/A. Service not Supported","Irrelevant. Tjenesten er ikke understøttet"
"N/A. Service not available","Irrelevant. Tjenesten er ikke tilgængelig"
"N/A. Service not supported","Irrelevant. Tjenesten er ikke understøttet"
"N/A. The merchant did not provide AVS information","Irrelevant. Forretningen har ikke oplyst AVS-information"
"N/A. The merchant has not implemented CVV2 code handling","Irrelevant. Forretningen har ikke implementeret håndtering af CVV2-koder"
"N/A. Unavailable","Irrelevant. Utilgængelig"
"Negative Balance","Negativ balance"
"Never","Aldrig"
"No","Nej"
"No Details matched","Ingen detaljer matchede"
"No Details matched. International","Ingen detaljer matchede. International"
"No Liability Shift","Ingen ændring af hæftelse"
"No Logo","Intet logo"
"No match","Intet match"
"None of the address information matched","Ingen adresseinformation matchede"
"Note: %s","Note: %s"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Er du ikke sikker på hvilken PayPal betalingsmetode, du skal anvende? Så klik <a href=""%s"" target=""_blank"">her</a> for mere info."
"Nothing to fetch because of an empty configuration.","Der er intet at hente da konfigurationen er tom."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Bemærk at PayPal kan håndtere op til 10 leveringsmuligheder. Derfor overfører Magento højst de 10 billigste leveringsmuligheder hvis der er flere end 10 tilgængelige."
"Notified customer about creditmemo #%s.","Kunde informeret om kreditnota #%s."
"Notified customer about invoice #%s.","Kunde informeret om faktura #%s."
"Now accepting PayPal (150 X 40)","Tager imod PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Tager imod PayPal (150 X 60)"
"Number of Child Authorizations","Antal under-autorisationer"
"Merchant Location","Forretningens lokation"
"Open Authorization","Open Authorization"
"Order","Ordre"
"Order ID","Ordre-ID"
"Order Valid Period (days)","Ordrevalideringsperiode (dage)"
"Ordered amount of %s.","Bestilt beløb på %s."
"Ordering amount of %s is pending approval on gateway.","Ordrebeløb på %s afventer godkendelse i gateway."
"Page Background Color","Sidens baggrundsfarve"
"Page Style","Sidestil"
"Part of the address information matched","Adresseinformation delvist matchet"
"Partner","Partner"
"Password","Password"
"Pay Now","Betal nu"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout genvejswrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token findes ikke."
"PayPal Express Order Review Form","PayPal Express godkendelsesformular for ordre"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal sidestil for forretning"
"PayPal Payments Advanced","PayPal Payments Advanced"
"PayPal Payment Solutions","PayPal betalingsløsning"
"PayPal Product Logo","PayPal produktlogo"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal reference-ID"
"PayPal Reference ID Type","PayPal reference-ID-type"
"PayPal Settlement Reports","PayPal opgørelse"
"PayPal certificate does not exist.","PayPal-certifikat eksisterer ikke"
"PayPal certificate file is empty.","PayPal-certifikatfil er tom."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal kan ikke behandle ordrer med nul-beløb. Brug den normale bestillingsproces for at gennemføre handlen."
"PayPal gateway has rejected request. %s","PayPal-gatewayen afviste forespørgslen. %s"
"PayPal processes all of your orders, and you get paid.","PayPal behandler alle dine ordrer, og du modtager betalingen."
"PayPal response hasn't required fields.","PayPal-svar har ikke påkrævede felter."
"PayPal retains reports for 45 days.","PayPal beholder rapporter i 45 dage."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa resultat fra betalerautenficieringstjenesten"
"Payer Address ID","Betaleradresse-ID"
"Payer Address Status","Betaleradressestatus"
"Payer Email","Betaler-email"
"Payer ID","Betaler-ID"
"Payer Status","Betalerstatus"
"Payer is not identified.","Betaler er ikke identificeret."
"Payflow Link (for USA and Canada)","Payflow Link (for USA og Canada)"
"Payflow Link Settings","Payflow Link indstillinger"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro indstillinger"
"Payment Action","Betalingshandling"
"Payment Applicable From","Betaling mulig fra"
"Payment Refund initiated by merchant","Refundering igangsat af forretning"
"Payment has been declined. Please try again.","Betalingen er afvist. Prøv igen."
"Payment transactions disallow storing objects.","Betalingstransaktioner kan ikke gemme objekter."
"Payments by PayPal (150 X 40)","Betalinger via PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Betalinger via PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Kortbetaling + sælgerbeskyttelse - <strong style=""color:red"">Kontakt PayPal før du aktiverer dette</strong>"
"Paypal Billing Agreement Settings","Paypal indstillinger for betalingsaftaler"
"Pending PayPal","Afventer PayPal"
"Place Order","Afgiv ordre"
"Please agree to all the terms and conditions before placing the order.","Accepter venligst alle betingelser inden du gennemfører ordren."
"Please do not refresh the page until you complete payment.","Opdater ikke siden før betalingen er gennemført."
"Please select a shipping method...","Vælg venligst leveringsform"
"Please select region, state or province","Vælg venligst region/stat/provins"
"Please update order data to get shipping methods and rates","Opdater ordredatene for at få leveringsmetoder og fragtpriser"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Betaling af porto til USPS eller UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Price","Pris"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Kreditkortbehandling direkte på din side med PayPal's alt-i-én-løsning for online betalinger."
"Product Name","Produktnavn"
"Proxy Host","Proxyvært"
"Proxy Port","Proxyport"
"Qty","Antal"
"Reauthorization","Reauthorization"
"Reference Information","Reference Information"
"Refund issued by merchant.","Refundering udstedt af forretning."
"Reimbursement for a chargeback.","Erstatning for chargeback."
"Reimbursement of Chargeback","Erstatning for chargeback"
"Report Date","Rapportdato"
"Reports","Rapporter"
"Require CVV Entry","Kræv indtastning af CVV"
"Require Customer's Billing Address","Kræv betalingsadresse fra kunden"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Godkend ordre"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP login"
"Sale","Salg"
"Sales","Salg"
"Same as shipping","Samme som levering"
"Sandbox Credentials","Sandbox-login"
"Sandbox Mode","Sandbox Mode"
"Schedule","Plan"
"Schedule description is too long.","Planbeskrivelsen er for lang."
"Scheduled Fetching","Planlagt indlæsning"
"Select a PayPal Solution","Vælg en PayPal-løsning"
"Server Error. Please try again.","Serverfejl. Prøv igen."
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure kortvalidering"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Levering"
"Shipping Address","Leveringsadresse"
"Shipping Method","Leveringsform"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","Genvej"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Genvej i produktvisning"
"Shortcut on Shopping Cart","Genvej i indkøbskurv."
"Sign a billing agreement to streamline further purchases with PayPal.","Opret en betalingsaftale for at gøre fremtidige PayPal-betaling nemmere."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Det er i øjeblikket ikke muligt at få prisoverslag for den pågældende ordre"
"Sort Order","Rækkefølge"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Angiver hvilken Authorization Honor Period der er indstillet på forretningens PayPal-konto. Den skal svare til indstillingen i PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Angiver hvilken ordrevalideringsperiode der er indstillet på forretningens PayPal-konto. Den skal svare til indstillingen i PayPal."
"State/Province","Stat/provins"
"Static","Statisk"
"Street Address","Adresse"
"Street Address %s","Adresse %s"
"Submitting order information...","Indsender ordreinformation..."
"Subscriber name is too long.","Abonnentens navn er for langt."
"Subscription ID","Abonnements-ID"
"Subscription Payment, either payment sent or payment received","Abonnementsbetaling, enten betaling sendt eller betaling modtaget"
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Resumé af sammenlagt indkøbskurv"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Understøttelse af American Express kræver en tillægsaftale. Se mere på <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefon"
"Test Mode","Test Mode"
"The background color for the checkout page around the header and payment form.","Baggrundsfarven for bestillingssiden omkring headeren og betalingsformularen."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Baggrundfarve for headeren på bestillingssiden. Hexadecimal farvekode på 6 tegn."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Standardværdien for antal under-transaktioner på din PayPal-konto er 1. For at lave flere transaktioner skal du kontakte PayPal og bede om en forøgelse af grænsen."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Billedet i øverste venstre hjørne af bestillingssiden. Maksimum 750x90 pixels. <strong style=""color:red"">https</strong> anbefales."
"The maximum number of child authorizations is reached.","Det maksimale antal undertransaktioner er opnået."
"The merchant account is not yet verified.","Forretningskontoen er ikke verificeret endnu."
"The payment curency does not match any of the merchant\'s balances currency.","Betalingsvalutaen stemmer ikke overens med nogen af valutaerne på forretningskontoen."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Betalingen venter, da den kommer fra en e-mailadresse, der endnu ikke er registreret eller bekræftet."
"The payment is pending while it is being reviewed by PayPal for risk.","Betalingen afventer PayPal's risikovurdering."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Betalingen er lavet med kreditkort. For at modtage penge skal forretningen have Business eller Premier status."
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl ved behandling af ordren. Kontakt os eller prøv igen senere."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Denne funktion skal først aktiveres på forretningskontoen gennem PayPals tekniske support."
"This operation requires an existing transaction object.","Denne handling kræver et eksisterende transaktionsobjekt."
"Time of Day","Tid på dagen"
"Title","Titel"
"Transaction ID","Transkations-ID"
"Transaction ID must not be empty.","Transaktions-ID må ikke være tomt."
"Transaction Information","Transaktionsinfo"
"Transfer Cart Line Items","Overfør linier fra indkøbskurven"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Udløste svindelfiltre"
"Unable to cancel Express Checkout.","Kunne ikke annullere Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Kan ikke ændre status. Aktuel status stemmer ikke overens med reel status."
"Unable to communicate with the PayPal gateway.","Fejl ved kommunikationen med PayPal."
"Unable to initialize Express Checkout review.","Kunne ikke starte Express Checkout review."
"Unable to initialize Express Checkout.","Kunne ikke starte Express Checkout."
"Unable to place the order.","Kunne ikke gennemføre ordren."
"Unable to process Express Checkout approval.","Kunne ikke behandle Express Checkout-godkendelsen."
"Unable to start Express Checkout.","Kunne ikke starte Express Checkout."
"Unable to update Order data.","Kunne ikke opdatere ordredata."
"Unable to update shipping method.","Kunne ikke opdatere leveringsmetoden."
"Unknown Error. Please try again later.","Ukendt fejl. Prøv igen senere."
"Unknown reason. Please contact PayPal customer service.","Ukendt årsag. Kontakt PayPal kundeservice."
"Update Order Data","Opdater ordredata"
"Use Proxy","Brug proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Brug kolon for at angive port. F.eks.: ""test.example.com:5224""."
"User","Bruger"
"User-initiated Currency Conversion","Valutaomregning startet af bruger"
"Uses store frontend name by default.","Bruger butikkens frontend-navn som standard."
"VAT Number","Momsnummer"
"Vendor","Forhandler"
"Vendor / Merchant Login","Forhandler-login"
"View","Vis"
"View Demo","Vis demo"
"View PayPal solutions.","Vis PayPal-løsninger."
"View Transaction","Vis transaktion"
"View Transaction Details","Vis transaktionsdetaljer"
"Virtual PayPal Debit Card Transaction","Virtuel PayPal debitkorttransaktion"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Void"
"We prefer PayPal (150 X 40)","Vi foretrækker PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Vi foretrækker PayPal (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) indstillinger"
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (inkluderer Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro indstillinger"
"Website Payments Standard","Website Payments Standard"
