"%s already exist.","%s eksisterer allerede"
"%s already exists.","%s eksisterer allerede"
"%s","%s"
"-- Please Select --","-- Vælg venligst --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Sletter du en %1$s bliver data forbundet med din %1$s ikke slettet (kategorier, produkter mv.), men det vil ikke være muligt at genskabe din %1$s. Det anbefales at tage backup af databasen før du sletter denne %1$s."
"Design Change","Designændring"
"Design","Design"
"Developer Client Restrictions","Udvikler klientrestriktioner"
"Developer","Udvikler"
"Disable Email Communications","Deaktiver e-mailkommunikationsmuligheder"
"Disable Modules Output","Deaktiver moduloutput"
"Display Demo Store Notice","Vis demoshop-besked"
"Duplicate Of Template Name","Kopi af skabelonnavn"
"Edit Design Change","Rediger designændring"
"Edit Store View","Rediger visning af forretning"
"Edit Store","Rediger forretning"
"Edit Website","Rediger website"
"Email Footer Template","E-mail footer skabelon"
"Email Header Template","E-mail header skabelon"
"Empty identifier field name","Tomt feltnavn for identifikator"
"Empty main table name","Fejl: Navn på hovedtabel må ikke være tomt"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
"Enable Charts","Aktiver grafer"
"Enabled for Admin","Aktiv i backend"
"Enabled for Frontend","Aktiv i frontend"
"Enabled","Aktiv"
"Enabling ability to run Magento in a frame is not recommended for security reasons.","Aktivering af muligheden for at køre Magento i frame anbefales ikke af sikkerhedsmæssige årsager."
"Error in file: ""%s"" - %s","Fejl i fil: ""%s"" - %s"
"European Union Countries","EU-lande"
"Example format: 200x300.","Eksempelformat: 200x300."
"Exceptions Log File Name","Filnavn for exceptions log"
"Favicon Icon","Favicon"
"File %s does not exist","Filen %s eksisterer ikke"
"File %s is not readable","File %s er ikke læsbar"
"File not found","Fil ikke fundet"
"File system","Filsystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Filtypen ""%value%"" er beskyttet og kan ikke uploades"
"First Day of Week","Første dag i ugen"
"Flush Cache Storage","Tøm cachelager"
"Flush Magento Cache","Tøm Magentocache"
"Footer","Footer"
"For Windows server only.","Kun for Windowsserver"
"Forgot Password Email Sender","Glemt password e-mailafsender"
"Forgot Password Email Template","Glemt password e-mailskabelon"
"General Contact Email","Generel kontakt-email"
"General Contact Name","Generel kontakt-navn"
"General Contact","Generel kontakt"
"General Settings","Generelle indstillinger"
"General","Generelt"
"Get info about current Magento installation","Hent information om din Magento-installation"
"Global","Global"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML tags er ikke tilladt"
"Header","Header"
"Host","Vært (host)"
"How many links to display at once.","Hvor mange links der skal vises på én gang."
"ID Path for Specified Store","ID-sti for valgt forretning"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Forkert udløbsdato for kort."
"Input type ""%value%"" not found in the input types list.","Inputtypen ""%value%"" findes ikke i listen over inputtyper."
"Invalid URL '%value%'.","Ugyldig URL '%value%'."
"Invalid base url type","Ugyldig rod-URL-type"
"Invalid block name to set child %s: %s","Fejl: Ugyldigt bloknavn %s: %s"
"Invalid block type: %s","Ugyldig bloktype: %s"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid connection","Ugyldig forbindelse"
"Invalid layout update handle","Ugyldig layout-opdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Ugyldig forespørgsel"
"Invalid transactional email code: ","Ugyldig kode for e-mail: "
"Invalid website\'s configuration path: %s","Ugyldig konfigurationssti for website: %s"
"JavaScript Settings","JavaScript-indstillinger"
"Layout","Layout"
"Leave empty for access from any location.","Udfyldes ikke, hvis der skal være adgang fra alle lokationer"
"List of stores","Liste over forretninger"
"Locale Options","Indstillinger for lokalisering"
"Locale","Sprog"
"Log Settings","Logindstillinger"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logger fra Mage::log(). Filen findes i {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logger fra Mage::logException(). Filen findes i {{base_dir}}/var/log"
"Login is Case Sensitive","Login er case sensitive"
"Logo Height","Logohøjde"
"Logo Image Alt","Logobillede alternativ tekst"
"Logo Image Src","Logobillede sti"
"Logo Image","Logobillede"
"Logo Width","Logobredde"
"Magento info API","Magento info API"
"Magento info","Magento info"
"Mail Sending Settings","Indstillinger for mailudsendelse"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Sørg for at rod-URL ender med '/' (skråstreg), f.eks. http://www.dinshop.dk/magento/"
"Manage Stores","Administrer forretninger"
"Match expressions in the same order as displayed in the configuration.","Match udtryk i samme rækkefølge som vist i konfigurationen."
"Media Storage","Medielager"
"Merge CSS Files","Sammenflet CSS-filer"
"Merge JavaScript Files","Sammenflet JavaScript-filer"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous Scripts","Diverse scripts"
"Model collection resource name is not defined.","Ressourcenavn på modelkollektion ikke angivet"
"Module ""%1$s"" cannot depend on ""%2$s"".","Modulet ""%1$s"" kan ikke være afhængig af ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modulet ""%1$s"" kræver modulet ""%2$s"""
"Name","Navn"
"New Design Change","Ny designændring"
"New Store View","Ny visning af forretning"
"New Store","Ny forretning"
"New Website","Nyt website"
"No","Nej"
"Offloader header","Offloader header"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Kun nødvenlig at angive, hvis logo er uploadet ovenfor. Angiv værdi uden efterfølgende ""px""."
"Order Updated Date report is real-time, does not need statistics refreshing.","Opdateringsrapport for ordrer er real-time og behøver ikke opdatering af statistikken."
"PHP SOAP extension is required.","PHP SOAP extension kræves."
"Package","Pakke"
"Pagination Frame Skip","Pagination Frame Skip"
"Pagination Frame","Pagination Frame"
"Pagination","Sideinddeling"
"Parent directory does not exist: %s","Overmappen eksisterer ikke: %s"
"Please define flag code.","Definer venligst flagkode."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Indtast venligst 6 eller flere karakterer. Mellemrum før og efter ignoreres."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Indtast mindst 7 tegn. Adgangskoden skal indeholde både tal og bogstaver."
"Please enter a number 0 or greater in this field.","Indtast et tal 0 eller større i dette felt."
"Please enter a number 1 or greater in this field.","Indtast et tal 1 eller større i dette felt."
"Please enter a number greater than 0 in this field.","Indtast venligst et tal større end 0."
"Please enter a number lower than 100.","Indtast venligst et tal mindre end 100."
"Please enter a valid $ amount. For example $100.00.","Vælg venligst et gyldigt beløb i kr. For eksempel kr. 100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Indtast en gyldig URL-nøgle. F.eks. ""min-side"", ""min-side.html"" eller ""min-side/min-underside""."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Indtast en gyldig URL. Protokol er obligatorisk (http://, https:// eller ftp://)"
"Please enter a valid URL. http:// is required","Indtast venligst en gyldig hjemmesideadresse (URL). NB! adressen skal starte med http://"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Indtast et gyldigt XML-id. F.eks. blok_1, block5, id-4."
"Please enter a valid credit card number.","Indtast venligst et gyldigt kreditkortnummer."
"Please enter a valid credit card verification number.","Indtast venligst en gyldig verifikationskode (CVC)."
"Please enter a valid date.","Indtast venligst en gyldig dato."
"Please enter a valid day (1-%d).","Indtast en gyldig dag (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Ugyldig e-mailadresse"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Indtast et gyldigt faxnummer. F.eks. 12 34 56 78"
"Please enter a valid full date","Indtast venligst en komplet gyldig dato"
"Please enter a valid month (1-12).","Indtast venligst en gyldigt måned (1-12)."
"Please enter a valid number in this field.","Indtast venligst kun heltal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer, eks. (+45) 10 10 10 10"
"Please enter a valid social security number. For example 123-45-6789.","Indtast venligst et gyldigt CPR-nummer, eks. 190570-2369."
"Please enter a valid year (1900-%d).","Indtast venligst et gyldigt årstal (1900-%d)."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer, eks. 6430 eller 8000."
"Please enter a valid zip code.","Indtast venligst et gyldigt postnummer."
"Please enter issue number or start date for switch/solo card type.","Indtast udstedelsesnummer eller startdato for switch/solo korttypen."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Angiv venligst en gyldig CSS-længde. For eksempel 100px, 77pt, 20em, .5ex eller 50%."
"Please make sure your passwords match.","Kontroller venligst, at dine kodeord er ens."
"Please select State/Province.","Vælg venligst region"
"Please select a file","Vælg venligst en fil"
"Please select an option.","Vælg venligst en af mulighederne."
"Please select one of the above options.","Vælg venligst en af mulighederne ovenfor"
"Please select one of the options.","Vælg venligst en af mulighederne"
"Please specify either a category or a product, or both.","Angiv enten en kategori, et produkt eller begge dele."
"Please use letters only (a-z or A-Z) in this field.","Brug kun bogstaver (a-z or A-Z) i dette felt."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Feltet må kun indeholde heltal, ungå venligst mellemrum eller andre karakterer såsom punktum og komma."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) i dette felt. Ingen mellemrum eller andre tegn."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) eller mellemrum og # i dette felt."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Feltet må kun indeholde bogstaver (a-z or A-Z), tal (0-9) eller underscore (_), og første tegn skal være et bogstav."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug kun bogstaver (a-z) eller heltal (0-9) eller underscore (_) i dette felt., første karakter skal være et bogstav."
"Please use only visible characters and spaces.","Brug kun synlige tegn og mellemrum."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/yyyy, eks. 17/03/2006 for d. 17. marts 2006."
"Please wait, loading...","Vent venligst, henter data..."
"Polls","Afstemninger"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Gyldighedsperiode for gendannelseslink (dage)"
"Request Path for Specified Store","Forspørgselssti for valgt forretning"
"Requested invalid store ""%s""","Ugyldig butik ""%s"" ønsket"
"Resource is not set.","Fejl: Ressourcen er ikke defineret"
"Retrieve info about current Magento installation","Hente info om denne Magento-installation"
"Retrieve store data","Hent forretningsdata"
"Retrieve store list","Hent forretningsliste"
"Return-Path Email","Return-Path e-mail"
"Root Category","Rodkategori"
"Sales Representative Contact Email","Salgsrepræsentant kontakt-e-mail"
"Sales Representative Contact Name","Salgsrepræsentant kontaktnavn"
"Sales Representative","Salgsrepræsentant"
"Save Store View","Gem visning af forretning"
"Save Store","Gem forretning"
"Save Website","Gem website"
"Save","Gem"
"Search Engines Optimization","Søgemaskineoptimering (SEO)"
"Secure","Sikker"
"Security","Sikkerhed"
"Select Date","Vælg dato"
"Select Media Database","Vælg mediedatabase"
"Sender Email","E-mail (afsender)"
"Sender Name","Navn (afsender)"
"Services","Tjenester"
"Session Cookie Management","Administration af session-cookie"
"Session Lifetime (seconds)","Session-levetid (sekunder)"
"Session Validation Settings","Indstillinger for sessionvalidering"
"Set Return-Path","Sæt Return-Path"
"Set as Default","Sæt som standard"
"Skin (Images / CSS)","Skin (Billeder / CSS)"
"Small Logo Image Src","Lille logobillede sti"
"Sort Order","Sorteringsrækkefølge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Det angivne dato/tidsformat ""%1$s"" matcher ikke formatet ""%2$s""."
"Start date cannot be greater than end date.","Startdato kan ikke være senere end slutdato."
"Startup Page","Startside"
"Status","Status"
"Storage Configuration for Media","Lagerkonfiguration for medier"
"Store API","Forretnings-API"
"Store Contact Address","Kontaktadresse for butik"
"Store Contact Information","Kontaktinfo for butik"
"Store Contact Telephone","Telefonnummer til butik"
"Store Email Addresses","E-mailadresser"
"Store Hours of Operation","Åbningstider"
"Store Information","Forretningsdata"
"Store Name","Forretningsnavn"
"Store View Information","Information om forretningsvisning"
"Store View Name","Navn på visning af forretning"
"Store View","Forretningsvisning"
"Store view doesn't exist","Forretningsvisningen eksisterer ikke"
"Store with the same code","Forretning med samme kode"
"Store","Forretning"
"System Log File Name","Filnavn for systemlog"
"System","System"
"System(config.xml, local.xml) and modules configuration files(config.xml).","System (config.xml, local.xml) og modulkonfigurationsfiler (config.xml)."
"Template Path Hints","Skabelonsti (hints)"
"Template Settings","Templateindstillinger"
"Template Variables","Skabelonvariable"
"Templates","Skabeloner"
"Text length does not satisfy specified text range.","Tekstlængden er ikke inden for det tilladte interval."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Indtastede %s er ugyldig. Sørg for at følge formatet ""http://domain.com/""."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Forretningskoden må kun indeholde bogstaver (a-z), tal (0-9) eller underscore (_), og det første tegn skal være et bogstav."
"The store does not exist","Forretningen eksisterer ikke."
"The store has been deleted.","Forretningen er slettet."
"The store has been saved.","Forretningen er gemt."
"The store view has been deleted.","Forretningsvisningen er slettet."
"The store view has been saved","Forretningsvisningen er gemt."
"The template Name must not be empty.","Skabelonnavnet skal udfyldes."
"The value is not within the specified range.","Værdien er ikke inden for det angivne interval."
"The website does not exist.","Websitet eksisterer ikke."
"The website has been deleted.","Websitet er slettet."
"The website has been saved.","Websitet er gemt."
"Themes","Temaer"
"There are no recurring profiles yet.","Du har endnu ingen abonnementsprofiler."
"This category and all its child elements","Denne kategori og alle underelementer"
"This category and its child categories only","Denne kategori og kun dens underkategorier"
"This category and its products only","Denne kategori og kun dens produkter"
"This category only","Kun denne kategori"
"This date is a required value.","Denne dato skal udfyldes."
"This is a required field.","Feltet skal udfyldes."
"This store cannot be deleted.","Forretningen kan ikke slettes."
"This store view cannot be deleted.","Forretningsvisningen kan ikke slettes."
"This website cannot be deleted.","Websitet kan ikke slettes."
"This will be displayed just before body closing tag.","Dette vil blive vist lige før det afsluttende body-tag"
"This will be included before head closing tag in page HTML.","Dette vil blive indsat før det afsluttende head-tag"
"Timezone","Tidszone"
"Title Prefix","Titel præfix"
"Title Suffix","Titel suffix"
"Transactional Emails","E-mails"
"Translate Inline","Inline-oversættelse"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Cache for oversættelser, blokke og øvrig output bør deaktiveres ved inline-oversættelse i både frontend og backend"
"Translation files.","Oversættelsesfiler."
"Translations","Oversættelser"
"Two and more slashes together are not permitted in request path","To skråstreger eller mere efter hinanden er ikke tilladt i stien"
"Two and more slashes together are not permitted in url rewrite suffix","To skråstreger eller mere efter hinanden er ikke tilladt i suffix for URL-omskrivningen"
"Unable to create directory: %s","Kunne ikke oprette mappe: %s"
"Unable to delete store view. Please, try again later.","Kunne ikke slette forretningsvisning. Prøv igen senere."
"Unable to delete store. Please, try again later.","Forretning kunne ikke slettes. Prøv igen senere."
"Unable to delete website. Please, try again later.","Website kunne ikke slettes. Prøv igen senere."
"Unable to proceed. Please, try again","Kunne ikke gennemføre. Prøv venligst igen"
"Unable to proceed. Please, try again.","Kunne ikke gennemføre. Prøv venligst igen"
"Unable to save file ""%s"" at ""%s""","Kunne ikke gemme filen ""%s"" i ""%s"""
"Unable to save file: %s","Kunne ikke gemme filen: %s"
"Unknown old style column type definition: {$definition}.","Ukendt definition af gammel style-kolonne: {$definition}."
"Unknown scope ""%s"".","Ukendt område ""%s"""
"Unsecure","Usikker"
"Url Options","URL-indstillinger"
"Use Custom Admin Path","Brug alternativ adminsti"
"Use Custom Admin URL","Brug alternativ admin URL"
"Use HTTP Only","Brug kun HTTP"
"Use SID on Frontend","Brug SID på frontend"
"Use Secure URLs in Admin","Anvend sikre URLs i backend"
"Use Secure URLs in Frontend","Avend sikre URLs i frontend"
"Use Web Server Rewrites","Brug webserver rewrites"
"VAT Number","Momsnummer"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Validation has failed.","Validering fejlede."
"Values less than 60 are ignored. Note that changes will apply after logout.","Værdier under 60 ignoreres. Ændringer træder først i kraft efter logout."
"Variable Code must be unique.","Variabelkode skal være unik."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Advarsel! Aktivering af denne funktion kan ikke anbefales i driftsmiljøer, fordi det udgør en potentiel sikkerhedsrisiko."
"Web Services Configuration","Webservice konfiguration"
"Web Services definition files (api.xml).","Webservice definitionsfiler (api.xml)"
"Web Services definition files (api2.xml).","Webservice definitionsfiler (api2.xml)"
"Web","Web"
"Website Information","Website-info"
"Website Name","Websitenavn"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Websitekode må kun indeholde bogstaver (a-z), tal (0-9) eller underscore (_), og det første tegn skal være et bogstav."
"Website with the same code","Website med samme kode"
"Website","Website"
"Weekend Days","Weekenddage"
"Welcome Text","Velkomsttekst"
"When changing media storage or selecting another media database,
                                use the Synchronize function to transfer media to the selected
                                storage. After synchronization is completed, all new media will be
                                automatically placed to the selected media storage.","Hvis du ændrer medielager eller vælger en anden mediedatabase,
                                så brug synkroniseringsfunktionen til at overføre medier til det valgte
                                lager. Efter synkronisering vil alle nye medier automatisk blive
                                placeret på det valgte medielager."
"Wrong file info format","Forkert filformat"
"Wrong number of arguments for %s","Fejl: Forkert antal parametre angivet for %s"
"Wrong old style column type definition: {$definition}.","Forkert definition af gammel style-kolonne: {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","Du skal logge ind igen efter du har gemt en ny adminsti."
"Your design change for the specified store intersects with another one, please specify another date range.","Din designændring overlapper med en anden, ret venligst datoerne."
"database ""%s""","database ""%s"""
